user_id,venue_id,label,user_pref_match,user_total_seconds,user_avg_click,user_pref_score,latitude,longitude,review_count,stars,venue_cat_count
user_1,V_1,1,0.0208,311,0.458,9.589,40.77837,-73.70681,1366,4.9,2
user_1,V_2,1,0.0146,251,0.957,7.192,40.55664,-73.79287,119,2.8,3
user_1,V_3,1,0.7966,404,0.403,5.75,40.89938,-73.85793,514,1.9,3
user_1,V_4,1,0.814,628,0.711,2.406,40.61519,-74.17937,936,2.3,4
user_1,V_5,1,0.7883,383,0.797,5.955,40.61917,-73.96027,526,1.9,4
user_1,V_6,1,0.1059,473,0.634,7.566,40.82802,-73.85077,160,4.7,3
user_1,V_7,1,0.6,701,0.486,3.002,40.65857,-73.90146,1311,1.6,4
user_1,V_8,1,0.9765,753,0.368,9.731,40.57051,-73.91003,1466,3.7,3
user_1,V_9,0,0.0612,91,0.472,2.416,40.55879,-73.7868,714,1.6,4
user_1,V_10,1,0.8484,248,0.487,6.889,40.77279,-73.78437,185,3.9,1
user_1,V_11,1,0.1647,756,0.971,3.642,40.93131,-74.15597,367,1.4,1
user_1,V_12,1,0.9349,212,0.964,8.042,40.75156,-73.94613,429,3.7,2
user_1,V_13,1,0.5796,827,0.546,3.107,40.94727,-73.92507,1047,3.8,4
user_1,V_14,1,0.7673,1015,0.406,9.46,40.86116,-74.14841,1009,3.9,1
user_1,V_15,1,0.2535,640,0.55,8.73,40.70199,-74.10819,367,4.2,4
user_1,V_16,1,0.2871,518,0.852,7.109,40.71952,-74.07753,1023,2.1,4
user_1,V_17,1,0.4818,344,0.492,6.497,40.73031,-73.7044,774,1.8,1
user_1,V_18,0,0.2258,283,0.958,9.262,40.53388,-74.01052,269,3.2,1
user_1,V_19,1,0.1219,405,0.939,4.345,40.61822,-73.73098,63,1.2,5
user_1,V_20,1,0.3736,724,0.323,4.448,40.54181,-74.21956,239,1.9,1
user_1,V_21,1,0.8074,1141,0.688,5.561,40.90625,-74.19714,482,2.9,2
user_1,V_22,1,0.0064,682,0.128,2.212,40.61544,-74.24696,501,1.2,1
user_1,V_23,1,0.984,639,0.83,5.569,40.81309,-73.87682,713,3.4,5
user_2,V_24,1,0.0078,240,0.284,5.516,40.63,-73.92648,811,2.5,1
user_2,V_25,1,0.8681,1164,0.995,3.669,40.87518,-74.20977,1324,2.9,5
user_2,V_26,1,0.3723,153,0.347,1.645,40.54295,-74.12802,468,3.3,3
user_2,V_27,0,0.4484,449,0.475,3.026,40.60685,-74.00723,324,4.4,5
user_2,V_28,0,0.1063,734,0.664,7.522,40.53474,-73.79152,1053,4.8,4
user_2,V_29,1,0.0651,277,0.937,5.938,40.76336,-73.78771,75,3.4,1
user_2,V_30,1,0.1074,485,0.304,5.81,40.79075,-74.0584,1380,3.3,5
user_2,V_31,0,0.1603,1044,0.582,1.886,40.75981,-73.76206,223,2.1,4
user_2,V_32,1,0.0882,1057,0.244,5.435,40.81802,-74.15203,277,4.5,1
user_2,V_33,1,0.79,536,0.71,9.802,40.85708,-73.81733,1479,1.4,2
user_2,V_34,1,0.842,646,0.495,3.45,40.81113,-73.97934,1138,3.5,3
user_2,V_35,1,0.924,994,0.215,8.783,40.54858,-73.79935,1381,2.4,3
user_2,V_36,1,0.3355,205,0.532,4.959,40.58945,-73.75738,846,1.3,5
user_2,V_37,1,0.7912,84,0.537,7.046,40.68562,-73.76394,1168,4.8,3
user_2,V_38,1,0.7403,707,0.163,3.911,40.93135,-74.03317,77,3.7,3
user_2,V_39,1,0.8773,340,0.679,5.127,40.79846,-74.05975,699,3.4,5
user_2,V_40,1,0.3484,841,0.445,9.897,40.62163,-73.88182,1316,2.4,3
user_2,V_41,1,0.608,1038,0.559,6.809,40.84683,-74.19626,1330,4.6,5
user_2,V_42,1,0.0199,658,0.171,2.749,40.80216,-73.76173,1273,2.0,1
user_2,V_43,1,0.158,721,0.698,8.782,40.57985,-73.91973,335,2.1,2
user_2,V_44,1,0.3235,944,0.62,6.276,40.73753,-73.87206,716,2.4,4
user_2,V_45,1,0.5378,853,0.979,2.531,40.62746,-73.75126,1243,4.7,4
user_2,V_46,1,0.2876,279,0.266,6.905,40.52185,-74.13122,1001,4.7,4
user_3,V_47,1,0.5029,130,0.438,8.27,40.89538,-73.71602,638,2.5,5
user_3,V_48,0,0.5313,270,0.774,9.187,40.74463,-73.92173,118,3.9,3
user_3,V_49,1,0.4849,541,0.638,7.96,40.62868,-74.02058,529,2.3,4
user_3,V_50,1,0.8393,311,0.307,5.696,40.77072,-73.94251,1387,4.1,1
user_3,V_51,1,0.574,1198,0.383,6.735,40.88607,-73.75755,438,3.5,5
user_3,V_52,1,0.6418,509,0.378,5.0,40.50829,-73.99454,946,2.3,1
user_3,V_53,1,0.5491,377,0.417,5.428,40.723,-73.76967,1399,2.8,3
user_3,V_54,1,0.2749,684,0.894,8.023,40.52364,-74.24241,861,4.9,2
user_3,V_55,0,0.2292,368,0.669,9.515,40.57891,-74.24968,380,4.4,4
user_3,V_56,1,0.3627,280,0.232,1.867,40.82085,-74.1707,975,4.0,5
user_3,V_57,1,0.3279,658,0.418,5.479,40.90238,-73.94584,955,3.3,2
user_3,V_58,1,0.2055,536,0.358,4.094,40.78638,-74.21623,174,4.4,1
user_3,V_59,1,0.6465,860,0.657,3.707,40.92285,-74.11804,1131,2.4,5
user_3,V_60,1,0.1525,500,0.975,5.769,40.83119,-74.01521,435,1.6,3
user_3,V_61,1,0.2335,482,0.481,6.856,40.93796,-74.1766,1484,2.3,3
user_3,V_62,1,0.0844,172,0.248,8.34,40.61538,-74.0911,488,3.2,2
user_3,V_63,1,0.07,286,0.665,7.683,40.51983,-73.86817,722,3.9,1
user_3,V_64,1,0.2461,836,0.061,4.296,40.83324,-73.72383,273,2.5,3
user_3,V_65,0,0.0704,1167,0.61,4.527,40.61184,-74.07358,1132,3.1,3
user_3,V_66,1,0.1219,547,0.982,4.3,40.76185,-73.95078,1457,4.0,2
user_3,V_67,1,0.5824,403,0.851,6.054,40.62525,-74.19969,704,2.4,3
user_3,V_68,1,0.0522,134,0.617,5.634,40.77505,-73.78346,306,4.4,3
user_3,V_69,1,0.4863,966,0.462,4.002,40.72881,-73.80449,555,3.9,1
user_4,V_70,1,0.866,151,0.776,2.417,40.61209,-73.92922,1333,4.4,5
user_4,V_71,1,0.5988,1101,0.899,1.117,40.65512,-73.99031,872,2.3,3
user_4,V_72,1,0.0288,980,0.432,7.618,40.54216,-73.75905,189,2.4,1
user_4,V_73,1,0.059,1103,0.235,2.936,40.72411,-73.86098,1060,2.2,5
user_4,V_74,1,0.1755,240,0.075,3.171,40.59057,-73.94622,845,3.4,1
user_4,V_75,1,0.5791,424,0.022,1.345,40.87199,-74.22236,745,2.3,1
user_4,V_76,1,0.9785,227,0.741,7.987,40.8762,-73.98404,1005,1.2,1
user_4,V_77,1,0.7103,718,0.004,7.494,40.93622,-74.05223,1129,3.4,5
user_4,V_78,0,0.1572,842,0.616,3.81,40.86677,-74.12165,677,3.4,2
user_4,V_79,0,0.1346,97,0.644,0.795,40.75954,-73.73925,1195,2.9,2
user_4,V_80,1,0.2946,1016,0.527,1.963,40.94607,-74.1207,412,1.3,5
user_4,V_81,1,0.6249,714,0.347,8.886,40.81068,-73.81303,792,4.7,5
user_4,V_82,1,0.0405,473,0.775,3.456,40.54187,-73.7152,265,3.2,1
user_4,V_83,1,0.8754,1048,0.019,8.523,40.9013,-74.21158,687,2.8,3
user_4,V_84,1,0.4867,245,0.135,8.86,40.59933,-74.04887,422,1.9,4
user_4,V_85,1,0.4735,1169,0.102,8.071,40.87855,-74.16959,1439,2.5,3
user_4,V_86,0,0.5597,732,0.044,7.843,40.55223,-74.15685,647,4.3,1
user_4,V_87,0,0.4638,1087,0.289,6.893,40.8137,-74.04729,778,3.0,1
user_4,V_88,1,0.9542,1000,0.055,8.834,40.5982,-73.89704,1345,4.5,5
user_4,V_89,1,0.8941,937,0.111,2.181,40.73391,-73.95521,787,3.7,2
user_4,V_90,1,0.027,552,0.086,1.981,40.7784,-73.79926,312,2.1,3
user_4,V_91,1,0.3627,481,0.026,0.462,40.616,-73.9575,1026,1.2,4
